path,subject,y_1s,y_2s,y_3s
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f0-63,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f16-79,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f32-95,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f48-111,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f64-127,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f80-143,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f96-159,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f112-175,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f128-191,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f144-207,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f160-223,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f176-239,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f192-255,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f208-271,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f224-287,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f240-303,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f256-319,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f272-335,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f288-351,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f304-367,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f320-383,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f336-399,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f352-415,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f368-431,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f384-447,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f400-463,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f416-479,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f432-495,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f448-511,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f464-527,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f480-543,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f496-559,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f512-575,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f528-591,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f544-607,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f560-623,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f576-639,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f592-655,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f608-671,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f624-687,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f640-703,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f656-719,2,0,0,0
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4#f672-735,2,0,0,0
